,coordinates,date,hashtags,language,source,text,user
149,,2/8/2019 23:15,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @AutoGraph_SA: Icarus falls By Zayn Malik , is available now by 99 SAR only 
https://t.co/CfBEMjuHdr https://t.co/CFNan53SFj",jjamesx__
150,,2/8/2019 23:15,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @thedanieb: The day has finally come. 
•Black Woman• 
Available on all music platforms. 
Video to come soon.🎶 https://t.co/5WL9nmLfkC",sweeneyyyyyyyy
151,,2/8/2019 23:15,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @ChicoHimself: Annnnnnd we're live. The February edition of 'Nothing But Vibes' is available now and features @TwelveIts. Run it on your…,ChicoHimself
152,,2/8/2019 23:15,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @FaZeClan: Our limited edition stickers for the upcoming $1,000,000 Katowice Major are now available in-game! 

Don't miss your chance t…",thomasdavies04
153,,2/8/2019 23:15,"[{'text': 'cltnoms', 'indices': [137, 145]}]",en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Swing by and treat your loved ones to our Steak Gorgonzola Pasta special...only available through the weekend at our Mint Hill location! #cltnoms https://t.co/1VMZ4DF0pA,HawthornesPizza
154,,2/8/2019 23:15,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @DevilMayCry: Download the Smokin’ Sexy Stylish new DMC5 demo! Available now on Xbox One and PlayStation 4. https://t.co/Zo1sHFrWGE,CodeFusionX
155,,2/8/2019 23:15,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Get Ted’s New guitar picks for Monsters of Rock Cruise!!! 😄😍💖💝 Only 300 available!!! 😱😂 https://t.co/gNkO5DFBKt @tedpoley @MonstersCruise,Cherry_East
156,,2/8/2019 23:15,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ninjasexparty: NSP GIVEAWAY!! This super limited merch is available in store, closing Feb 10: https://t.co/MOQBNdRnWt
🌟 Follow @ninjase…",MilesCarlson278
157,,2/8/2019 23:15,"[{'text': 'biggie', 'indices': [49, 56]}, {'text': 'Notorious', 'indices': [57, 67]}, {'text': 'nba', 'indices': [68, 72]}, {'text': 'brooklynets', 'indices': [73, 85]}]",en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Brooklyn Nets NBA Biggie attire is now available #biggie #Notorious #nba #brooklynets 

https://t.co/tuafHJWhV2 https://t.co/K4rm2hC3TE",Deadlaced
158,,2/8/2019 23:15,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @TheWashRocks: Limited Ticket Alert. 
February 21st. 
Available at Weird Harold's Records and Tikly. https://t.co/fgVHI000ly",shorttemper9
159,,2/8/2019 23:15,[],en,"<a href=""http://www.reverbnation.com/"" rel=""nofollow"">ReverbNation</a>","Crüxshadows Live Astromythology America Mini-Tour starts in a few days!  Get your tickets now for the following cities:  LOS ANGELES, CHICAGO, PROVIDENCE, NEWARK, WASHINGTON DC, TAMPA, TALLAHASSEE, &amp; JACKSONVILLE.  Ticket links available at https://t.co/UWZ1wJ5Ih7",thecruxshadows
160,,2/8/2019 23:15,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @DavenportHseM: Commit! or Recommit! Davenport House Museum Garden is the place on Valentine's Day!  - beautiful location, beautiful cit…",AuntiK___
161,,2/8/2019 23:15,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @sweetandsowers: ✨ shop is active! ✨

pls understand since i am currently in the hospital i won’t be able to ship orders right away, but…",pleaserepeathat
162,,2/8/2019 23:15,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @priveallianceny: You are invited to the Fashion Presentation of the upcoming drop collection on February 26th in Los Angeles, Californi…",taexoxo008
163,,2/8/2019 23:15,[],en,"<a href=""http://www.zendesk.com"" rel=""nofollow"">Zendesk</a>","@MekelKasanova Blast is currently available on the Google Play Store. iOS is still in development. For more information, head to https://t.co/fr7C2hPeXs.",blasthq
164,,2/8/2019 23:15,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @OnceTees: Stand Out is available for $13 this week only!

Shop now only at https://t.co/he8bZaIUPn!

Follow, Like, &amp; RT for a chance to…",sign_for_panini
165,,2/8/2019 23:15,"[{'text': 'kindleunlimited', 'indices': [78, 94]}]",en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @DebAdams_Writer: So excited to announce that Waypoint is now available in #kindleunlimited! We can't wait to bring these characters to…,magickal_jess
166,,2/8/2019 23:15,"[{'text': 'Phera', 'indices': [76, 82]}]",en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @RonLouis_: https://t.co/NTLQcZkqqH full look book available for viewing #Phera https://t.co/cy0eicW1n9,DerekMachak
167,,2/8/2019 23:15,"[{'text': 'properglassware', 'indices': [113, 129]}, {'text': 'rastal', 'indices': [130, 137]}, {'text': 'VideoMarketing', 'indices': [138, 153]}]",en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","A beautiful, harmonious line of glassware. The Harmony family. 🔊[sound on]🔊 Available exclusively at Grandstand.
#properglassware #rastal #VideoMarketing https://t.co/XB3qgXiLGk",eGrandstand
168,,2/8/2019 23:15,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @WakaanOfficial: New hoodies and our beanie collab with @soundwaveshawty available NOW! 

https://t.co/odHSio2gQs https://t.co/kkDvm52NCJ",nahumt7
169,,2/8/2019 23:15,[],en,"<a href=""http://hearsaysystems.com"" rel=""nofollow"">Hearsay Social</a>",What’s dwelling coverage? Do you need of other coverages? Here’s a handy guide to help you: https://t.co/eaIRVQTIT9 and our agency is available at 773-233-2630 to help guide you. https://t.co/lI1mdnEjGT,azmnationwide
170,,2/8/2019 23:15,"[{'text': 'LupinThe3rd', 'indices': [40, 52]}, {'text': 'Megalobox', 'indices': [57, 67]}]",en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ZenMonkeyStudio: Now available, new #LupinThe3rd and #Megalobox pins by us, @tmsanime and @VIZMedia!
https://t.co/TAQvz5ByRR
Use code ""…",takako_hobby
171,,2/7/2019 19:46,"[{'text': 'GRAMMYs', 'indices': [49, 57]}]",en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Check out who @BTS_twt is sitting next to at the #GRAMMYs on Sunday! @bts_bighit @RecordingAcad https://t.co/OQbDFAJlau,STAPLESCenter
172,,2/8/2019 16:01,[],en,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",Child's Play brings the murderous doll Chucky into the modern era. Check out the official trailer. https://t.co/2KE7XHjN7B,IGN
173,,2/8/2019 23:13,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @BeyondMeat: Take it from an old western cowboy turned yoga master - when the wagon of change comes, you embrace it with a juicy bite.…",Vineca
174,,2/8/2019 23:13,"[{'text': 'SHRPez', 'indices': [46, 53]}, {'text': 'SHRPeTime', 'indices': [54, 64]}]",en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",🚨 Contest Alert 🚨 check it out at 6:15pm CST! #SHRPez #SHRPeTime We have prizes!!! https://t.co/VFrc5m1CiS,Inthegrandstand
175,,2/8/2019 23:13,"[{'text': 'Cejon', 'indices': [107, 113]}]",en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @BethPaintings: Check out NWT  Cejon Women's Loop Infinity  Scarf Acrylic  Green  Blue Purple 62"" x 22"" #Cejon https://t.co/qpzAsQavi7 v…",BethPaintings
176,,2/8/2019 23:13,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Check out this item in my Etsy shop https://t.co/9jAJnoUV82,quilts_more
177,,2/8/2019 23:13,"[{'text': 'poshmark', 'indices': [95, 104]}, {'text': 'fashion', 'indices': [105, 113]}, {'text': 'style', 'indices': [114, 120]}, {'text': 'shopmycloset', 'indices': [121, 134]}]",en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @MyHappyPoshing: So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #sty…,JewelrybyT
178,,2/8/2019 23:13,"[{'text': 'Movement', 'indices': [83, 92]}, {'text': 'OffshoreBLN', 'indices': [98, 110]}]",en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @Hozier: During my last trip to Berlin we filmed a live intimate performance of #Movement with #OffshoreBLN. ⭕️You can check out The Cir…,BelenPagesV
179,,2/8/2019 23:13,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@andrewgurza I have a YouTube channel, where I do videos about physical disability and living with it but I also do fun videos and reviews as well. I’ve put up a new blog yesterday. You should check it out. Thank you. What I Did For My Birthday 🍰 https://t.co/5b0PBM7QN9",emmadonaldson05
180,,2/8/2019 23:13,"[{'text': 'Beaded', 'indices': [108, 115]}]",en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @BethPaintings: Check out Women's18""  4 strand  starfish  necklace seashell Mother of pearl gift for her #Beaded https://t.co/NENa16f1wl…",BethPaintings
181,,2/8/2019 23:13,"[{'text': 'EXO', 'indices': [32, 36]}]",en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @exo_views: Social 50: 

#10 #EXO⁠ ⁠😳

EXO is one spot away from being out of Top 10. EXO-Ls, please always make it a habit to tag EXO,…",JCT47507037
182,,2/8/2019 23:13,"[{'text': 'Handmade', 'indices': [106, 115]}]",en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @BethPaintings: Check out Blue and pink sea glass Charm Dangles Key Chain Fob Phone Purse dangle Charm #Handmade https://t.co/48P8TiWELe…,BethPaintings
183,,2/8/2019 23:13,"[{'text': 'PS4live', 'indices': [46, 54]}]",en,"<a href=""http://www.playstation.com"" rel=""nofollow"">PlayStation(R)4</a>",Check out my broadcast from my PlayStation 4! #PS4live (Fortnite)  live at https://t.co/Xnct5PbpXv,Fatboygonaeaty1
184,,2/8/2019 23:13,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Check out ""The Worry List"" by Blue October on Amazon Music. https://t.co/vBzKhXAXFk https://t.co/UrrYmPLm1q",marianePnunes
185,,2/8/2019 23:13,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @topdawg619: Check out @StanfordFball Special Teams coach @PeteAlamar talk about the 2018 @KUSIPPR Special Teams Player of the Year @RSa…,PeterWeinert223
186,,2/8/2019 23:13,"[{'text': 'RMTV', 'indices': [30, 35]}, {'text': 'RMDerbi', 'indices': [83, 91]}]",en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @realmadriden: 🎤 Check out #RMTV's exclusive interview with Solari ahead of the #RMDerbi! https://t.co/6w4NZ2tJUo,ZKdro
187,,2/8/2019 23:13,[],en,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",21V Cordless Impact Power Drill Rechargeable 2 Speed Electric Screwdriver Driver with 2 Batteries Check out this Great Deal &gt;&gt; https://t.co/F8xKPFvjHo https://t.co/UToP7kiVXM,ldejdkueiw
188,,2/8/2019 23:13,"[{'text': 'Handmade', 'indices': [102, 111]}]",en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @BethPaintings: Check out Hawaiian Surfer Style Fossil Shark Tooth Necklace 18” Great Sharks Teeth #Handmade https://t.co/duICJhp9gM via…,BethPaintings
189,,2/8/2019 23:13,"[{'text': 'Canon', 'indices': [91, 97]}]",en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Check out 【NEAR MINT】Canon Autoboy TELE 6 Quartz Date 35mm 60mm f3.5 f5.6 From Japan #1088 #Canon https://t.co/D4zGZf6tFi via @eBay,JPCameraSellers
190,,2/8/2019 23:13,[],en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@MWolf28 @TchannelY @TAPIIanimation We subbed! Awesome channel - check us out of you're interested!
https://t.co/V2mFsIlAWv https://t.co/PJ8WZv8wVi",YouMeAndBenny
191,,2/8/2019 23:13,"[{'text': 'Hours', 'indices': [49, 55]}]",en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @RealPaulWalker: Did you know Paul’s thriller #Hours is available on @Hulu? It’s a project he was very proud of and one of the most dram…,4everStelly
192,,2/8/2019 23:13,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @myscandihome: Celebrating the weekend with this white Swedish home with a very intriguing hanging plant! Check out the full tour on the…,EnVanligKvinna
193,,2/8/2019 23:13,"[{'text': 'GRAMMYs', 'indices': [68, 76]}]",en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @STAPLESCenter: Check out who @BTS_twt is sitting next to at the #GRAMMYs on Sunday! @bts_bighit @RecordingAcad https://t.co/OQbDFAJlau,IenkaSantos
194,,2/8/2019 23:13,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Check out this item in my Etsy shop https://t.co/CyROvcGjSf,quilts_more
195,,2/8/2019 23:13,"[{'text': 'shopmycloset', 'indices': [137, 150]}]",en,"<a href=""http://poshmark.com/"" rel=""nofollow"">Poshmark</a>","Check out what I just added to my closet on Poshmark: ""When Romeo Was a Woman"" by Lisa Merrill. https://t.co/952w6LimtF via @poshmarkapp #shopmycloset",DestinyMnM
196,,2/8/2019 23:13,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Krys_Burnette: Hot new podcast for ya, Good Ancestor Podcast, hosted by Layla Saad! Check out the first episode with @RachelCargle http…",artlessBrandon
197,,2/8/2019 23:13,"[{'text': 'DorotheeBis', 'indices': [99, 111]}]",en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @BethPaintings: Check out  DOROTHEE BIS women's Designer Jeans Boot Cut BUTTON EMBELLISHED Sz14 #DorotheeBis https://t.co/ZIpLcBA4e2 via…,BethPaintings
198,,2/8/2019 23:13,[],en,"<a href=""https://execed.economist.com/"" rel=""nofollow"">ExecEd Navigator</a>","Interested in Leadership? Check out Ross School of Business's course, The Positive Leader: Deep Change and Organizational Transformation: https://t.co/1cE6mtdxon",ExecEdCourses
199,,2/8/2019 23:13,"[{'text': 'OMHockey', 'indices': [196, 205]}]",en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Check out what we'll be wearing next weekend! 👀

Do not miss this big-time series between two Top 5 WSHL teams, with these custom jerseys on our backs and up for auction:
https://t.co/REGqOUjiSa

#OMHockey https://t.co/QdByLXn7ym",OgdenMustangs
200,,2/8/2019 23:13,"[{'text': 'HSBC', 'indices': [82, 87]}, {'text': 'InstituteOfStatecraft', 'indices': [88, 110]}, {'text': 'IntegrityInitiative', 'indices': [111, 131]}, {'text': 'MI5', 'indices': [132, 136]}]",en,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @RealMediaGB: Yesterday we released our interview with @nw_nicholas connecting
#HSBC #InstituteOfStatecraft #IntegrityInitiative #MI5 an…",crustycobs
201,,2/8/2019 23:13,[],en,"<a href=""https://www.meetsoci.com"" rel=""nofollow"">SOCi - Simplifying Social Media</a>",The 2019 Ram 1500 continues to win award after award! This time winning the Best Pickup Truck of the Year from https://t.co/NZnorUZi64! Check out why and then come to Westpointe CJDR for a test drive. https://t.co/uDFNGRnW47,WestpointeCJD
202,,2/8/2019 23:13,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @PattenPending: Hey!
I've added a page to my website for sketches nd other artwork... you know, to show I have a personality!
check it o…",PattenPending
203,,2/8/2019 23:13,"[{'text': 'trailer', 'indices': [29, 37]}]",en,"<a href=""https://www.google.com"" rel=""nofollow"">GameDev Chirper</a>",RT @thejamespierce: The game #trailer for 'Endless Cave' is finally here! Check it out please &amp; hopefully it gets you a little excited to j…,Game_DevBot
204,,2/8/2019 23:13,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @nuprojects_: Don't forget to check out our YouTube channel!
https://t.co/4JfDkhz5Rt https://t.co/m8xidQqcnV",nickjeffries70
205,,2/8/2019 23:13,"[{'text': 'Didyouknow', 'indices': [17, 28]}]",en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @ADE_Systems: #Didyouknow the ADE service team provides annual cleaning, maintenance and training of your drives? Email us to schedule a…",BX316
206,,2/8/2019 23:13,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @NoPeaceFL: TONIGHT IS THE NIGHT! @SoundbarOrl ! 10:30 doors or arrive early and check out the metal show beforehand! See you there mani…,BigPopa1971
207,,2/8/2019 23:13,"[{'text': 'branding', 'indices': [127, 136]}]",en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @thoughtspot: Excited to be launching our new brand today! Check out how we arrived at our new look https://t.co/b3cBRo4gcN #branding #t…,BDoerwald
208,,2/8/2019 23:13,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ExzavierWhitley: Check out my latest video ""Another Day Goes By"" on @YouTube :)
https://t.co/bm5VLpBlGX",ExzavierWhitley
209,,2/8/2019 23:13,"[{'text': 'BaseballCap', 'indices': [101, 113]}]",en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @BethPaintings: Check out New  Embroidery 1 Size Fits All Pepsi-Cola Blue  Corduroy Baseball Cap! #BaseballCap https://t.co/DqMnuPmEHp v…,BethPaintings
210,,2/8/2019 23:13,"[{'text': 'GrammyWeek', 'indices': [66, 77]}]",en,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","What do YOU think music is missing? Check out my interview during #GrammyWeek with @dash_radio I gave my answer and more! 
•
•
• Thanks for having me and such a great interview @tatcarrier… https://t.co/HoSkRA18JC",SuPeRHuMaNJB
211,,2/8/2019 23:13,"[{'text': '2019retreat', 'indices': [115, 127]}]",en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @TinaDomnguez: New lab pic! 🥰 Come to visit our webpage and find out our cool research! https://t.co/OFMlODQokZ #2019retreat @turmo_aiko…,Jfcsteele
212,,2/8/2019 23:13,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",COME JOIN US THIS MONDAY! We can’t wait to meet you and also watch the bachelor 😉 https://t.co/YLbIbYa0iN,AGDOmega
213,,2/8/2019 23:13,"[{'text': 'TheBestYouHad', 'indices': [62, 76]}]",en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Need a good break up song? Check out @ninanesbitt's video for #TheBestYouHad from her new album ""The Sun Will Come Up, The Seasons Will Change"" 💔 https://t.co/yaZ7CoOYCC",Stoop_Sounds
214,,2/8/2019 23:13,"[{'text': 'blackhistorymonth', 'indices': [154, 172]}, {'text': 'blackhistory', 'indices': [173, 186]}]",en,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","TONIGHT AND EVERY FRIDAY! 
Come for the beer, stay for the movies! 
___

6 pm: Black Panther (Oscar Nominated)

9 pm: Vampire In Brooklyn (Classic) 

___
#blackhistorymonth
#blackhistory… https://t.co/s8s7dMK5DH",taproom642
215,,2/8/2019 23:13,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @The_PantherPit: LAST REGULAR SEASON GAME OF THE YEAR TONIGHT @ TUSKY 7pm. Come and witness history as we try to complete a perfect seas…,jhark1973
216,,2/8/2019 23:13,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MCOA is at the Manitoba Outdoors Show this weekend. 

Come visit us at Booth 38 tonight from 3:00 p.m. - 9:00 p.m., Saturday 10:00 a.m. - 9:00 p.m. and 10:00 a.m. - 5:00 p.m.

We are selling our association hats as a fundraiser and we are doing a free draw for MCOA branded gear. https://t.co/DTPIpbww8R",MCOA_Official
217,,2/8/2019 23:13,"[{'text': 'Streamer', 'indices': [113, 122]}, {'text': 'ApexLegends', 'indices': [123, 135]}, {'text': 'roadto200', 'indices': [136, 146]}, {'text': 'trop', 'indices': [147, 152]}]",en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Hi guys @paddythepagan is now playing late night @PlayApex  with @Maroxide . Come say hi https://t.co/1PToeZxFtA #Streamer #ApexLegends #roadto200 #trop,TheRepofPlayers
